Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Publication.Date,Total.number.of.passengers,Total.fatal.or.serious.injuries,Likelihood.of.serious.or.fatal.injury,Is.aircraft.destroyed,Make.model,Weather.Condition.missingness
20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,Incident,Minor,Airplane,9VSQQ,Boeing,747,No,4,Turbo Fan,Part 129: Foreign,Missing/Unknown,0,0,0,588,VMC,04-12-2014,588,0,0.0,False,Boeing/747,False
20001214X42331,Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,Fatal(1),Destroyed,Airplane,N9600W,Piper,pa-28-140,No,1,Reciprocating,Part 91: General Aviation,Personal,1,1,0,1,IMC,02-05-2011,3,2,0.6666666666666666,True,Piper/pa-28-140,False
20001214X42672,Accident,FTW83LA177,1983-04-02,"MCKINNEY, TX",United States,Fatal(1),Missing/Unknown,Airplane,N927BA,De Havilland,dhc-6,No,2,Turbo Prop,Part 91: General Aviation,Skydiving,1,0,0,4,VMC,17-10-2016,5,1,0.2,False,De Havilland/dhc-6,False
20001214X45013,Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",United States,Incident,Minor,Airplane,N898AA,Boeing,727-200,No,3,Turbo Fan,Part 121: Air Carrier,Missing/Unknown,0,0,0,100,VMC,11-06-2018,100,0,0.0,False,Boeing/727-200,False
20001214X45188,Accident,NYC84LA028,1983-11-13,"MARTHA'S VINEYARD, MA",United States,Non-Fatal,Substantial,Airplane,N1882D,Beech,c35,No,1,Reciprocating,Part 91: General Aviation,Personal,0,0,0,1,VMC,05-05-2011,1,0,0.0,False,Beech/c35,False
20001214X45339,Accident,LAX84LA110,1983-12-22,"SANTA ROSA ISLAND, CA",United States,Non-Fatal,Substantial,Airplane,N2697K,Cessna,180k,No,1,Reciprocating,Part 91: General Aviation,Personal,0,0,0,1,VMC,01-02-2016,1,0,0.0,False,Cessna/180k,False
20001214X38957,Accident,ATL84LA120,1984-03-14,"MYRTLE BEACH, SC",United States,Non-Fatal,Substantial,Airplane,N7994R,Beech,99,No,2,Turbo Prop,Part 135: Air Taxi & Commuter,Missing/Unknown,0,0,0,1,VMC,24-09-2018,1,0,0.0,False,Beech/99,False
20001214X40033,Accident,MIA84LA182,1984-06-11,"FT. LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,N29994,Piper,pa-23-250,No,2,Reciprocating,Part 91: General Aviation,Personal,0,0,0,4,VMC,13-09-2011,4,0,0.0,False,Piper/pa-23-250,False
20001214X40407,Accident,MKC84FA197,1984-07-03,"WRIGHT, AR",United States,Fatal(1),Destroyed,Airplane,N4025,Piper,pa-18-150,No,1,Reciprocating,Part 137: Agricultural,Aerial Application,1,0,0,1,VMC,15-12-2009,2,1,0.5,True,Piper/pa-18-150,False
20001214X41647,Accident,MKC85LA019,1984-11-09,"JUNCTION CITY, KS",United States,Non-Fatal,Substantial,Airplane,N13030,Cessna,r172e,No,1,Reciprocating,Part 91: General Aviation,Personal,0,0,0,1,VMC,02-05-2011,1,0,0.0,False,Cessna/r172e,False
20001214X41706,Accident,ATL85FA072,1984-12-30,"DUBLIN, VA",United States,Fatal(1),Destroyed,Airplane,N4963D,Cessna,182a,No,1,Reciprocating,Part 91: General Aviation,Skydiving,1,0,0,1,VMC,17-10-2016,2,1,0.5,True,Cessna/182a,False
20001214X35509,Accident,DEN85LA064,1985-01-14,"WAPITI, WY",United States,Non-Fatal,Destroyed,Airplane,N759WB,Cessna,182q,No,1,Reciprocating,Part 91: General Aviation,Personal,0,1,1,1,VMC,12-01-2016,3,1,0.3333333333333333,True,Cessna/182q,False
20001214X36510,Accident,LAX85LA257,1985-05-13,"MESA, AZ",United States,Non-Fatal,Destroyed,Airplane,N4661V,Cessna,t303,No,2,Reciprocating,Part 91: General Aviation,Positioning,0,1,0,1,VMC,03-08-2011,2,1,0.5,True,Cessna/t303,False
20001214X36887,Accident,NYC85FA145B,1985-06-11,"BELMAR, NJ",United States,Fatal(1),Destroyed,Airplane,N4956B,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,Instructional,1,1,4,1,VMC,08-04-2013,7,2,0.2857142857142857,True,Cessna/152,False
20001214X37356,Incident,ATL85IA251,1985-08-16,"HILTON HEAD, SC",United States,Incident,Substantial,Airplane,N2624D,Cessna,441,No,2,Turbo Prop,Part 91: General Aviation,Business,0,0,0,4,VMC,26-07-2011,4,0,0.0,False,Cessna/441,False
20001214X37718,Accident,ATL85MA286,1985-09-29,"JENKINSBURG, GA",United States,Fatal(17),Destroyed,Airplane,N551CC,Cessna,208,No,1,Turbo Prop,Part 91: General Aviation,Skydiving,17,0,0,1,VMC,17-10-2016,18,17,0.9444444444444444,True,Cessna/208,False
20001213X33306,Accident,LAX86LA166,1986-04-08,"MESA, AZ",United States,Non-Fatal,Substantial,Airplane,N3872E,Piper,pa-23-250,No,2,Reciprocating,Part 91: General Aviation,Personal,0,0,0,2,VMC,03-08-2011,2,0,0.0,False,Piper/pa-23-250,False
20001213X33276,Accident,FTW86FA066B,1986-04-15,"HANKAMER, TX",United States,Fatal(2),Destroyed,Airplane,N8696H,Grumman,g164a,No,1,Reciprocating,Part 137: Agricultural,Aerial Application,2,0,0,1,VMC,08-04-2013,3,2,0.6666666666666666,True,Grumman/g164a,False
20001213X33276,Accident,FTW86FA066A,1986-04-15,"HANKAMER, TX",United States,Fatal(2),Destroyed,Airplane,N8751H,Grumman,g164a,No,1,Reciprocating,Part 137: Agricultural,Aerial Application,2,0,0,1,VMC,08-04-2013,3,2,0.6666666666666666,True,Grumman/g164a,False
20001213X33697,Accident,SEA86FA121B,1986-05-19,"MEAD, WA",United States,Fatal(2),Destroyed,Airplane,N8267Q,Cessna,tu206f,No,1,Reciprocating,Part 91: General Aviation,Skydiving,2,0,1,1,VMC,17-10-2016,4,2,0.5,True,Cessna/tu206f,False
20001213X33697,Accident,SEA86FA121A,1986-05-19,"MEAD, WA",United States,Fatal(2),Destroyed,Airplane,N6161M,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,Instructional,2,0,1,1,VMC,17-10-2016,4,2,0.5,True,Cessna/152,False
20001213X33489,Incident,BFO86IA031B,1986-05-30,"CALVERTON, NY",United States,Incident,Missing/Unknown,Airplane,USN,Grumman,f-14a,No,2,Turbo Jet,Part 91: General Aviation,Public Aircraft,0,0,0,69,VMC,09-10-2018,69,0,0.0,False,Grumman/f-14a,False
20001213X30060,Accident,DCA87MA018B,1987-01-15,"KEARNS, UT",United States,Fatal(10),Destroyed,Airplane,N6485U,Mooney,m-20c,No,1,Reciprocating,Part 91: General Aviation,Instructional,10,0,0,1,VMC,10-07-2019,11,10,0.9090909090909091,True,Mooney/m-20c,False
20001213X30244,Accident,FTW87RA066,1987-02-14,"DURANGO, Mexico",Mexico,Fatal(1),Missing/Unknown,Airplane,N712PC,Boeing,707-323b,No,4,Turbo Jet,Part 121: Air Carrier,Missing/Unknown,1,0,3,131,UNK,07-02-1995,135,1,0.007407407407407408,False,Boeing/707-323b,False
20001213X30820,Accident,SEA87LA072,1987-04-02,"JEAN, NV",United States,Non-Fatal,Substantial,Airplane,N5916H,Piper,pa 16,No,1,Missing/Unknown,Part 91: General Aviation,Personal,0,0,0,1,VMC,10-04-2014,1,0,0.0,False,Piper/pa 16,False
20001213X25245,Accident,DCA88WA048,1988-03-27,"OXFORD, United Kingdom",United Kingdom,Fatal(1),Destroyed,Airplane,N91590,Piper,pa-38,No,0,Missing/Unknown,"Non-U.S., Non-Commercial",Instructional,1,0,0,1,UNK,,2,1,0.5,True,Piper/pa-38,False
20001213X25425,Accident,CHI88FA091,1988-04-05,"ST. PAUL, MN",United States,Non-Fatal,Substantial,Airplane,N181LL,Beech,b90,No,2,Turbo Prop,Part 135: Air Taxi & Commuter,Missing/Unknown,0,0,0,5,IMC,02-05-2011,5,0,0.0,False,Beech/b90,False
20001213X25535,Accident,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Costa Rica,Non-Fatal,Missing/Unknown,Airplane,N510EA,Boeing,757-225,No,2,Missing/Unknown,Part 121: Air Carrier,Missing/Unknown,0,1,0,192,UNK,06-02-1995,193,1,0.0051813471502590676,False,Boeing/757-225,False
20001213X25661,Incident,DCA88IA056,1988-05-02,"NR TOKYO, Japan",Japan,Incident,Minor,Airplane,N157UA,Boeing,747-123,No,4,Turbo Fan,Part 121: Air Carrier,Missing/Unknown,0,0,0,258,VMC,02-02-2016,258,0,0.0,False,Boeing/747-123,False
20001213X26456,Accident,BFO88LA070,1988-08-01,"SELBYVILLE, DE",United States,Non-Fatal,Substantial,Airplane,N5682G,Cessna,150k,No,1,Reciprocating,Part 91: General Aviation,Missing/Unknown,0,0,0,1,VMC,02-06-2009,1,0,0.0,False,Cessna/150k,False
20001213X26459,Accident,BFO88LA073,1988-08-07,"RACINE, WV",United States,Non-Fatal,Substantial,Airplane,N4873T,Piper,pa-28-180,No,1,Reciprocating,Part 91: General Aviation,Ferry,0,0,1,1,VMC,02-05-2011,2,0,0.0,False,Piper/pa-28-180,False
20001213X27446,Accident,LAX89LA068,1988-12-23,"Midway Islands, PO",United States,Non-Fatal,Missing/Unknown,Airplane,N146UA,Boeing,747sp-21,No,4,Turbo Fan,Part 121: Air Carrier,Missing/Unknown,0,1,1,220,UNK,02-02-2016,222,1,0.0045045045045045045,False,Boeing/747sp-21,False
20001213X27392,Accident,CHI89FA035,1988-12-24,"MADISON, IN",United States,Fatal(2),Destroyed,Airplane,N5121J,Cessna,310r,No,2,Reciprocating,Part 91: General Aviation,Positioning,2,0,0,1,VMC,04-09-2012,3,2,0.6666666666666666,True,Cessna/310r,False
20001213X28167,Accident,MKC89FA099,1989-04-27,"AINSWORTH, NE",United States,Fatal(3),Destroyed,Airplane,N20BS,Maule,m-5,No,1,Reciprocating,Part 91: General Aviation,Other Work Use,3,0,0,1,IMC,17-08-2012,4,3,0.75,True,Maule/m-5,False
20001213X28620,Accident,MIA89LA175,1989-06-15,"MIRAMAR, FL",United States,Non-Fatal,Substantial,Airplane,N732AG,Cessna,210l,No,1,Reciprocating,Part 91: General Aviation,Personal,0,0,3,1,VMC,15-11-2010,4,0,0.0,False,Cessna/210l,False
20001213X28927,Accident,MKC89LA151,1989-07-03,"MORRILTON, AR",United States,Non-Fatal,Substantial,Airplane,N1414N,Piper,"j3 ""cub""",No,1,Reciprocating,Part 91: General Aviation,Personal,0,0,1,1,VMC,02-05-2011,2,0,0.0,False,"Piper/j3 ""cub""",False
